warnings,steps,time,difference,activeCollisions,collisionStarts,characters,bodies,raycasts,clears,unblocks,explores,flees,pursues
1,1,1681311353454,3711,0,0,1,44,0,224183,0,0,0,0
1,2,1681311353466,12,0,0,1,45,0,15,0,1,0,0
1,3,1681311353482,16,0,0,1,45,0,3,0,0,0,0
1,4,1681311353498,16,0,0,1,45,0,3,0,0,0,0
1,5,1681311353514,16,0,0,1,45,0,3,0,0,0,0
1,6,1681311353530,16,0,0,1,45,0,3,0,0,0,0
1,7,1681311353546,16,0,0,1,45,0,3,0,0,0,0
1,8,1681311353561,15,0,0,1,45,0,3,0,0,0,0
1,9,1681311353578,17,0,0,1,45,0,3,0,0,0,0
1,10,1681311353593,15,0,0,1,45,0,3,0,0,0,0
1,11,1681311353609,16,0,0,1,45,0,3,0,0,0,0
1,12,1681311353625,16,0,0,1,45,0,3,0,0,0,0
1,13,1681311353642,17,0,0,1,45,0,3,0,0,0,0
1,14,1681311353659,17,0,0,1,45,0,3,0,0,0,0
1,15,1681311353676,17,0,0,1,45,0,3,0,0,0,0
1,16,1681311353692,16,0,0,1,45,0,3,0,0,0,0
1,17,1681311353708,16,0,0,1,45,0,3,0,0,0,0
1,18,1681311353724,16,0,0,1,45,0,3,0,0,0,0
1,19,1681311353740,16,0,0,1,45,0,3,0,0,0,0
1,20,1681311353757,17,0,0,1,45,0,3,0,0,0,0
1,21,1681311353774,17,0,0,1,45,0,3,0,0,0,0
1,22,1681311353790,16,0,0,1,45,0,3,0,0,0,0
1,23,1681311353805,15,0,0,1,45,0,3,0,0,0,0
1,24,1681311353822,17,0,0,1,45,0,3,0,0,0,0
1,25,1681311353837,15,0,0,1,45,0,3,0,0,0,0
1,26,1681311353854,17,0,0,1,45,0,3,0,0,0,0
1,27,1681311353869,15,0,0,1,45,0,3,0,0,0,0
1,28,1681311353885,16,0,0,1,45,0,3,0,0,0,0
1,29,1681311353902,17,0,0,1,45,0,3,0,0,0,0
1,30,1681311353919,17,0,0,1,45,0,3,0,0,0,0
1,31,1681311353934,15,0,0,1,45,0,3,0,0,0,0
1,32,1681311353951,17,0,0,1,45,0,3,0,0,0,0
1,33,1681311353966,15,0,0,2,45,0,3,0,0,0,0
1,34,1681311353983,17,0,0,2,46,0,13,0,1,0,0
1,35,1681311353998,15,0,0,2,46,0,6,0,0,0,0
1,36,1681311354014,16,0,0,2,46,0,6,0,0,0,0
1,37,1681311354030,16,0,0,2,46,0,6,0,0,0,0
1,38,1681311354047,17,0,0,2,46,0,6,0,0,0,0
1,39,1681311354063,16,0,0,2,46,0,6,0,0,0,0
1,40,1681311354078,15,0,0,2,46,0,6,0,0,0,0
1,41,1681311354095,17,0,0,2,46,0,6,0,0,0,0
1,42,1681311354111,16,0,0,2,46,0,6,0,0,0,0
1,43,1681311354127,16,0,0,2,46,0,6,0,0,0,0
1,44,1681311354143,16,0,0,2,46,0,6,0,0,0,0
1,45,1681311354158,15,0,0,2,46,0,6,0,0,0,0
1,46,1681311354174,16,0,0,2,46,0,6,0,0,0,0
1,47,1681311354190,16,0,0,2,46,0,6,0,0,0,0
1,48,1681311354207,17,0,0,2,46,0,6,0,0,0,0
1,49,1681311354223,16,0,0,2,46,0,6,0,0,0,0
1,50,1681311354239,16,0,0,2,46,0,6,0,0,0,0
1,51,1681311354255,16,0,0,2,46,0,6,0,0,0,0
1,52,1681311354271,16,0,0,2,46,0,6,0,0,0,0
1,53,1681311354287,16,0,0,2,46,0,6,0,0,0,0
1,54,1681311354302,15,0,0,2,46,0,6,0,0,0,0
1,55,1681311354318,16,0,0,2,46,0,6,0,0,0,0
1,56,1681311354335,17,0,0,2,46,0,6,0,0,0,0
1,57,1681311354351,16,0,0,2,46,0,6,0,0,0,0
1,58,1681311354369,18,0,0,2,46,0,6,0,0,0,0
1,59,1681311354384,15,0,0,2,46,0,6,0,0,0,0
1,60,1681311354400,16,0,0,2,46,0,6,0,0,0,0
1,61,1681311354416,16,0,0,2,46,0,6,0,0,0,0
1,62,1681311354432,16,0,0,2,46,0,6,0,0,0,0
1,63,1681311354448,16,0,0,2,46,0,6,0,0,0,0
1,64,1681311354464,16,0,0,2,46,0,6,0,0,0,0
1,65,1681311354480,16,0,0,2,46,0,6,0,0,0,0
1,66,1681311354497,17,0,0,2,46,0,6,0,0,0,0
1,67,1681311354513,16,0,0,2,46,0,6,0,0,0,0
1,68,1681311354529,16,0,0,2,46,0,6,0,0,0,0
1,69,1681311354546,17,0,0,2,46,0,6,0,0,0,0
1,70,1681311354562,16,0,0,2,46,0,6,0,0,0,0
1,71,1681311354578,16,0,0,2,46,0,6,0,0,0,0
1,72,1681311354594,16,0,0,2,46,0,6,0,0,0,0
1,73,1681311354610,16,0,0,2,46,0,6,0,0,0,0
1,74,1681311354627,17,0,0,2,46,0,6,0,0,0,0
1,75,1681311354642,15,0,0,2,46,0,6,0,0,0,0
1,76,1681311354658,16,0,0,2,46,0,6,0,0,0,0
1,77,1681311354675,17,0,0,2,46,0,6,0,0,0,0
1,78,1681311354692,17,0,0,2,46,0,6,0,0,0,0
1,79,1681311354707,15,0,0,2,46,0,6,0,0,0,0
